epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6154,2.74713,4.44563,2.62395,0.01387,0.63766,0.02967,0.00922,2.2912,4.45332,2.65075,1.334e-05,1.334e-05,1.334e-05
2,131.054,2.8611,4.53096,2.62672,0.01658,0.78247,0.0367,0.01346,2.07804,4.3817,2.49967,3.26897e-05,3.26897e-05,3.26897e-05
3,174.96,2.53502,4.34907,2.48157,0.01877,0.77489,0.09761,0.03481,1.94356,4.28077,2.34022,5.12469e-05,5.12469e-05,5.12469e-05
4,223.276,2.24857,4.38566,2.29349,0.02144,0.78788,0.19942,0.06149,1.6763,4.1569,2.0312,6.90118e-05,6.90118e-05,6.90118e-05
5,265.561,2.0172,4.13248,2.0728,0.0302,0.83636,0.19324,0.06955,1.51255,4.02928,1.8301,8.59843e-05,8.59843e-05,8.59843e-05
6,304.354,1.95496,4.04094,1.97873,0.0344,0.74545,0.27795,0.1059,1.40363,3.97859,1.71375,0.000102164,0.000102164,0.000102164
7,340.274,1.77535,3.9193,1.87692,0.02567,0.64242,0.20882,0.08057,1.32322,3.8995,1.60957,0.000117552,0.000117552,0.000117552
8,377.135,1.75171,3.81476,1.83314,0.0238,0.64242,0.2118,0.09245,1.31265,3.84451,1.58369,0.000132147,0.000132147,0.000132147
9,414.09,1.74028,3.68156,1.83754,0.02774,0.75152,0.25438,0.11663,1.20511,3.72786,1.51278,0.00014595,0.00014595,0.00014595
10,449.946,1.52032,3.51343,1.64857,0.02918,0.75758,0.27136,0.15176,1.15748,3.66171,1.47945,0.000158961,0.000158961,0.000158961
11,488.334,1.5285,3.41519,1.62892,0.02659,0.84848,0.27727,0.17137,1.03691,3.60225,1.36644,0.000171179,0.000171179,0.000171179
12,528.692,1.48797,3.42996,1.61914,0.03081,0.9697,0.321,0.16218,1.06242,3.6099,1.35066,0.000182605,0.000182605,0.000182605
13,568.313,1.41917,3.25513,1.5395,0.02391,0.95152,0.23626,0.1112,1.12116,3.62797,1.35982,0.000193238,0.000193238,0.000193238
14,609.472,1.49578,3.34467,1.56661,0.02269,0.96364,0.21988,0.10588,1.08456,3.61068,1.33656,0.000203079,0.000203079,0.000203079
15,644.787,1.36294,3.27135,1.53921,0.02457,1,0.3383,0.18097,0.88011,3.50859,1.21719,0.000212127,0.000212127,0.000212127
16,681.629,1.31948,3.08722,1.47713,0.02293,0.90909,0.44151,0.30407,0.79376,3.39993,1.1635,0.000220383,0.000220383,0.000220383
17,718.905,1.32967,2.98339,1.49654,0.85387,0.08967,0.48284,0.31923,0.76536,3.26723,1.14085,0.000227847,0.000227847,0.000227847
18,755.314,1.31064,2.96659,1.53777,0.97345,0.06322,0.51978,0.32569,0.8124,3.24363,1.13212,0.000234519,0.000234519,0.000234519
19,793.882,1.24943,2.87916,1.44454,0.97293,0.06494,0.56286,0.33853,0.8379,3.22278,1.14759,0.000240397,0.000240397,0.000240397
20,832.972,1.24182,2.76405,1.44364,0.96063,0.06494,0.54599,0.33567,0.77937,3.16548,1.14724,0.000245484,0.000245484,0.000245484
21,875.94,1.28481,2.8148,1.50351,0.96015,0.06494,0.58501,0.34873,0.77544,3.12615,1.18092,0.000249778,0.000249778,0.000249778
22,927.427,1.2244,2.75498,1.44414,0.91075,0.09524,0.54515,0.35025,0.7665,3.0613,1.17318,0.00025328,0.00025328,0.00025328
